- МЕБЕЛЬНЫЙ УГОЛОК
,,,,KUR-50х100,50,50,100,2.0,50,0.150,7.50,12.27,11.80,25,
,,,,KUR-60х40,60,60,40,2.0,50,0.072,3.60,6.03,5.80,25,
,,,,KUR-60х50,60,60,50,2.0,50,0.090,4.50,7.28,7.00,25,
,,,,KUR-60х60,60,60,60,2.0,50,0.108,5.40,8.84,8.50,25,
,,,,KUR-60х80,60,60,80,2.0,50,0.144,7.20,11.44,11.00,25,
,,,,KUR-60х100,60,60,100,2.0,50,0.180,9.00,14.77,14.20,25,
,,,,KUR-60х200,60,60,200,2.0,10,0.360,3.60,29.43,28.30,25,
,,,,KUR-80х40,80,80,40,2.0,50,0.096,4.80,7.80,7.50,25,
,,,,KUR-80х60,80,80,60,2.0,50,0.144,7.20,11.44,11.00,25,
,,,,KUR-80х80,80,80,80,2.0,50,0.192,9.60,14.77,14.20,25,
,,,,KUR-80х100,80,80,100,2.0,50,0.240,12.00,19.55,18.80,25,
,,,,KUR-80х200,80,80,200,2.0,10,0.480,4.80,39.73,38.20,25,
,,,,KUR-100х40,100,100,40,2.0,50,0.120,6.00,9.78,9.40,25,
,,,,KUR-100x50,100,100,50,2.0,50,0.150,7.50,12.38,11.90,25,
,,,,KUR-100х60,100,100,60,2.0,50,0.180,9.00,14.66,14.10,25,
,,,,KUR-100х80,100,100,80,2.0,50,0.240,12.00,18.82,18.10,25,
,,,,KUR-100х100,100,100,100,2.0,25,0.300,7.50,24.02,23.10,25,
,,,,KUR-100х200,100,100,200,2.0,10,0.600,6.00,52.42,50.40,25,
,,,,KUR-140x140,140,140,140,2.0,10,0.588,5.88,51.38,49.40,25,
,,,,KUR-160x60,160,160,60,2.0,25,0.288,7.20,24.02,23.10,25,
,,,,KUR-160x80,160,160,80,2.0,25,0.384,9.60,30.58,29.40,25,
,,,,KUR-160x100,160,160,100,2.0,25,0.480,12.00,40.46,38.90,25,
,,,,KUR-160x200,160,160,200,2.0,10,0.960,9.60,80.81,77.70,25,
,,,,KUR-200x200,200,200,200,2.0,10,1.200,12.00,100.46,96.60,25,
- КРЕПЕЖНЫЙ УГОЛОК С ДВОЙНЫМ УСИЛЕНИЕМ
,,,,KUD-105,105,105,90,2.0,25,0.284,7.10,21.11,20.30,26,
,,,,KUASUS-90,150,60,90,2.0,25,0.284,7.10,20.28,19.50,26,
- КРЕПЕЖНЫЙ УГОЛОК АССИМЕТРИЧНЫЙ
,,,,KUAS-40,140,40,40,2.0,50,0.284,12.20,9.15,8.80,27,
,,,,KUAS-55,90,50,55,2.0,50,0.116,5.78,9.05,8.70,27,
,,,,KUAS-55x2.5,90,50,55,2.5,50,0.150,7.50,12.90,12.40,27,
,,,,KUAS-65,130,50,65,2.0,50,0.176,8.78,13.21,12.70,27,
,,,,KUAS-90,150,60,90,2.0,25,0.284,7.09,21.01,20.20,27,
- КРЕПЕЖНЫЙ УГОЛОК ПОД 135°
,,,,KUS-40,90,90,40,2.0,50,0.112,5.60,9.05,8.70,28,
,,,,KUS-50,50,50,35,2.0,100,0.053,5.25,4.68,4.50,28,
,,,,KUS-70,70,70,55,2.0,50,0.116,5.78,9.26,8.90,28,
,,,,KUS-90,90,90,65,2.0,50,0.176,8.78,13.21,12.70,28,
,,,,KUS-105,105,105,90,2.0,25,0.284,7.09,21.01,20.20,28,
- КРЕПЕЖНЫЙ УГОЛОК Z-ОБРАЗНЫЙ
,,,,KUZ-70,35,70,55,2.0,50,0.116,5.78,9.36,9.00,29,
,,,,KUZ-90,45,90,65,2.0,50,0.176,8.78,13.73,13.20,29,
,,,,KUZ-105,55,105,90,2.0,25,0.284,7.09,22.15,21.30,29,
- КРЕПЕЖНЫЙ АНКЕРНЫЙ УГОЛОК
,,,,KUL-40х80,40,80,40,2.0,50,0.072,3.60,6.24,6.00,30,
,,,,KUL-40х100,40,100,40,2.0,50,0.084,4.20,8.11,7.80,30,
,,,,KUL-40x120,40,120,40,2.0,50,0.096,4.80,8.53,8.20,30,
,,,,KUL-40x140,40,140,40,2.0,50,0.108,5.40,9.88,9.50,30,
,,,,KUL-40х160,40,160,40,2.0,50,0.120,6.00,10.71,10.30,30,
,,,,KUL-40x200,40,200,40,2.0,50,0.144,7.20,11.86,11.40,30,
,,,,KUL-40x320,40,320,40,2.0,25,0.216,5.40,18.62,17.90,30,
,,,,KUL-40х400,40,400,40,2.0,25,0.250,6.25,24.02,23.10,30,
,,,,KUL-80x80,40,80,80,2.0,50,0.144,7.20,11.96,11.50,30,
,,,,KUL-80x100,40,100,80,2.0,50,0.168,8.40,15.29,14.70,30,
,,,,KUL-80x120,40,120,80,2.0,50,0.192,9.60,16.43,15.80,30,
,,,,KUL-80x200,40,200,80,2.0,25,0.288,7.20,24.02,23.10,30,
,,,,KUL-80x240,40,240,80,2.0,25,0.300,7.50,27.77,26.70,30,
,,,,KUL-80x280,40,280,80,2.0,25,0.384,9.60,31.20,30.00,30,
,,,,KUL-80x320,40,320,80,2.0,20,0.432,8.64,38.27,36.80,30,
- КРЕПЕЖНЫЙ УГОЛОК РАВНОСТОРОННИЙ, ШИРОКИЙ
,,,,KUR-20x1000,20,20,1000,2.0,5,0.624,3.12,68.85,66.20,31,
,,,,KUR-20x2000,20,20,2000,2.0,5,1.248,6.24,137.59,132.30,31,
,,,,KUR-25х1000,25,25,1000,2.0,5,0.780,3.90,91.73,88.20,31,
,,,,KUR-25х2000,25,25,2000,2.0,5,1.560,7.80,183.46,176.40,31,
,,,,KUR-30x1000,30,30,1000,2.0,5,0.936,4.68,109.20,105.00,31,
,,,,KUR-30x1200,30,30,1200,2.0,5,1.123,5.62,138.11,132.80,31,
,,,,KUR-30х1500,30,30,1500,2.0,5,1.400,7.00,162.14,155.90,31,
,,,,KUR-30х2000,30,30,2000,2.0,5,1.872,9.36,229.32,220.50,31,
,,,,KUR-40х400,40,40,400,2.0,10,0.500,5.00,51.69,49.70,31,
,,,,KUR-40х500,40,40,500,2.0,10,0.624,6.24,59.70,57.40,31,
,,,,KUR-40х600,40,40,600,2.0,10,0.748,7.48,74.57,71.70,31,
,,,,KUR-40х800,40,40,800,2.0,10,1.000,10.00,105.46,101.40,31,
,,,,KUR-40х1000,40,40,1000,2.0,5,1.248,6.24,126.15,121.30,31,
,,,,KUR-40х1200,40,40,1200,2.0,5,1.500,7.50,150.18,144.40,31,
,,,,KUR-40х1500,40,40,1500,2.0,5,1.870,9.35,183.46,176.40,31,
,,,,KUR-40х2000,40,40,2000,2.0,5,2.500,12.50,263.74,253.60,31,
,,,,KUR-50х400,50,50,400,2.0,10,0.624,6.24,63.13,60.70,31,
,,,,KUR-50x500,50,50,500,2.0,10,0.750,7.50,80.29,77.20,31,
,,,,KUR-50x600,1.8,50,600,2.0,10,0.936,9.36,95.26,91.60,31,
,,,,KUR-50x800,50,50,800,2.0,10,1.248,12.48,143.42,137.90,31,
